goal,success,depth,elapsed_s,model,timeout,use_calls,steps_len
x ∈ set xs ⟹ x ∈ set (xs @ ys),True,1,15.37667989730835,litellm:openai/gpt-5.5,False,2,2
set (xs @ ys) = set xs ∪ set ys,True,1,10.480533361434937,litellm:openai/gpt-5.5,False,4,2
map id xs = xs,True,1,10.058735370635986,litellm:openai/gpt-5.5,False,6,2
take (length xs) (xs @ ys) = xs,True,1,10.690025806427002,litellm:openai/gpt-5.5,False,8,2
map f (xs @ ys) = map f xs @ map f ys,True,1,10.201756238937378,litellm:openai/gpt-5.5,False,10,2
length (xs @ ys) = length xs + length ys,True,1,11.15654468536377,litellm:openai/gpt-5.5,False,12,2
filter p (xs @ ys) = filter p xs @ filter p ys,True,1,10.471640586853027,litellm:openai/gpt-5.5,False,14,2
map f (rev xs) = rev (map f xs),True,1,30.728067874908447,litellm:openai/gpt-5.5,False,26,2
drop (length xs) (xs @ ys) = ys,True,1,11.69631814956665,litellm:openai/gpt-5.5,False,28,2
distinct xs ⟹ distinct (rev xs),True,1,10.5607271194458,litellm:openai/gpt-5.5,False,30,2
xs @ [] = xs,True,1,10.294098377227783,litellm:openai/gpt-5.5,False,32,2
take n xs @ drop n xs = xs,True,1,11.333052635192871,litellm:openai/gpt-5.5,False,34,2
[] @ xs = xs,True,1,9.80163049697876,litellm:openai/gpt-5.5,False,36,2
x ∈ set ys ⟹ x ∈ set (xs @ ys),True,1,10.572210550308228,litellm:openai/gpt-5.5,False,38,2
map f (filter p xs) = filter (λx. p x) (map f xs),False,2,94.7664167881012,litellm:openai/gpt-5.5,False,70,2
length (rev xs) = length xs,True,1,12.112030029296875,litellm:openai/gpt-5.5,False,72,2
rev (rev xs) = xs,True,1,10.939199209213257,litellm:openai/gpt-5.5,False,74,2
rev (xs @ ys) = rev ys @ rev xs,True,1,10.24175477027893,litellm:openai/gpt-5.5,False,76,2
