goal,success,depth,elapsed_s,model,timeout,use_calls,steps_len
x ∈ set xs ⟹ x ∈ set (xs @ ys),True,1,13.780962228775024,litellm:openai/gpt-5.4-mini,False,3,2
set (xs @ ys) = set xs ∪ set ys,True,1,6.2629477977752686,litellm:openai/gpt-5.4-mini,False,6,2
map id xs = xs,True,1,6.385809659957886,litellm:openai/gpt-5.4-mini,False,9,2
take (length xs) (xs @ ys) = xs,True,1,6.317552804946899,litellm:openai/gpt-5.4-mini,False,12,2
map f (xs @ ys) = map f xs @ map f ys,True,1,6.3064329624176025,litellm:openai/gpt-5.4-mini,False,15,2
length (xs @ ys) = length xs + length ys,True,1,6.30326247215271,litellm:openai/gpt-5.4-mini,False,18,2
filter p (xs @ ys) = filter p xs @ filter p ys,True,1,6.321991443634033,litellm:openai/gpt-5.4-mini,False,21,2
map f (rev xs) = rev (map f xs),True,1,25.22799587249756,litellm:openai/gpt-5.4-mini,False,32,2
drop (length xs) (xs @ ys) = ys,True,1,9.957282304763794,litellm:openai/gpt-5.4-mini,False,35,2
distinct xs ⟹ distinct (rev xs),True,1,6.325558662414551,litellm:openai/gpt-5.4-mini,False,38,2
xs @ [] = xs,True,1,6.335967540740967,litellm:openai/gpt-5.4-mini,False,41,2
take n xs @ drop n xs = xs,True,1,8.823791027069092,litellm:openai/gpt-5.4-mini,False,44,2
[] @ xs = xs,True,1,6.321737051010132,litellm:openai/gpt-5.4-mini,False,47,2
x ∈ set ys ⟹ x ∈ set (xs @ ys),True,1,6.330806732177734,litellm:openai/gpt-5.4-mini,False,50,2
map f (filter p xs) = filter (λx. p x) (map f xs),False,4,93.62878918647766,litellm:openai/gpt-5.4-mini,False,79,4
length (rev xs) = length xs,True,1,6.433611631393433,litellm:openai/gpt-5.4-mini,False,82,2
rev (rev xs) = xs,True,1,6.320557594299316,litellm:openai/gpt-5.4-mini,False,85,2
rev (xs @ ys) = rev ys @ rev xs,True,1,6.329565048217773,litellm:openai/gpt-5.4-mini,False,88,2
