goal,success,depth,elapsed_s,model,timeout,use_calls,steps_len
x ∈ set xs ⟹ x ∈ set (xs @ ys),True,1,16.148292541503906,litellm:openai/gpt-5.5,False,3,2
set (xs @ ys) = set xs ∪ set ys,True,1,11.23909616470337,litellm:openai/gpt-5.5,False,6,2
map id xs = xs,True,1,12.014970302581787,litellm:openai/gpt-5.5,False,9,2
take (length xs) (xs @ ys) = xs,True,1,16.01292371749878,litellm:openai/gpt-5.5,False,12,2
map f (xs @ ys) = map f xs @ map f ys,True,1,13.415032386779785,litellm:openai/gpt-5.5,False,15,2
length (xs @ ys) = length xs + length ys,True,1,12.617838382720947,litellm:openai/gpt-5.5,False,18,2
filter p (xs @ ys) = filter p xs @ filter p ys,True,1,12.189126014709473,litellm:openai/gpt-5.5,False,21,2
map f (rev xs) = rev (map f xs),True,1,31.148422241210938,litellm:openai/gpt-5.5,False,32,2
drop (length xs) (xs @ ys) = ys,True,1,13.344344139099121,litellm:openai/gpt-5.5,False,35,2
distinct xs ⟹ distinct (rev xs),True,1,12.18644666671753,litellm:openai/gpt-5.5,False,38,2
xs @ [] = xs,True,1,12.6448495388031,litellm:openai/gpt-5.5,False,41,2
take n xs @ drop n xs = xs,True,1,14.464222431182861,litellm:openai/gpt-5.5,False,44,2
[] @ xs = xs,True,1,11.797869443893433,litellm:openai/gpt-5.5,False,47,2
x ∈ set ys ⟹ x ∈ set (xs @ ys),True,1,11.310989141464233,litellm:openai/gpt-5.5,False,50,2
map f (filter p xs) = filter (λx. p x) (map f xs),False,2,95.48958539962769,litellm:openai/gpt-5.5,False,78,2
length (rev xs) = length xs,True,1,12.614278078079224,litellm:openai/gpt-5.5,False,81,2
rev (rev xs) = xs,True,1,12.488290786743164,litellm:openai/gpt-5.5,False,84,2
rev (xs @ ys) = rev ys @ rev xs,True,1,11.790781736373901,litellm:openai/gpt-5.5,False,87,2
