dataset,rerank,sledge,model,timestamp,total,successes,success_rate,median_time_all_s,median_time_success_s,avg_depth,source_path
lists,off,off,litellm_gemini_gemini-2.5-flash,20260523-204738,18,17,94.4,6.39,6.37,1.28,archives/20260524_000931/prover_results_old/20260523-204738-lists-rerank_off__sledge_off__model_litellm_gemini_gemini-2.5-flash.csv
lists,on,off,litellm_gemini_gemini-2.5-flash,20260523-205051,18,17,94.4,6.3,6.27,1.22,archives/20260524_000931/prover_results_old/20260523-205051-lists-rerank_on__sledge_off__model_litellm_gemini_gemini-2.5-flash.csv
logic,off,off,litellm_gemini_gemini-2.5-flash,20260523-201411,5,5,100.0,4.22,4.22,1.0,archives/20260524_000931/prover_results_old/20260523-201411-logic-rerank_off__sledge_off__model_litellm_gemini_gemini-2.5-flash.csv
logic,on,off,litellm_gemini_gemini-2.5-flash,20260523-201440,5,5,100.0,4.22,4.22,1.0,archives/20260524_000931/prover_results_old/20260523-201440-logic-rerank_on__sledge_off__model_litellm_gemini_gemini-2.5-flash.csv
nat,off,off,litellm_gemini_gemini-2.5-flash,20260523-202833,9,4,44.4,18.96,19.55,1.11,archives/20260524_000931/prover_results_old/20260523-202833-nat-rerank_off__sledge_off__model_litellm_gemini_gemini-2.5-flash.csv
nat,on,off,litellm_gemini_gemini-2.5-flash,20260523-203044,9,3,33.3,14.72,6.22,1.0,archives/20260524_000931/prover_results_old/20260523-203044-nat-rerank_on__sledge_off__model_litellm_gemini_gemini-2.5-flash.csv
sets,off,off,litellm_gemini_gemini-2.5-flash,20260523-205323,8,8,100.0,7.6,7.6,1.0,archives/20260524_000931/prover_results_old/20260523-205323-sets-rerank_off__sledge_off__model_litellm_gemini_gemini-2.5-flash.csv
sets,on,off,litellm_gemini_gemini-2.5-flash,20260523-205421,8,8,100.0,6.63,6.63,1.0,archives/20260524_000931/prover_results_old/20260523-205421-sets-rerank_on__sledge_off__model_litellm_gemini_gemini-2.5-flash.csv
hol_easy_20,off,on,litellm_ollama_qwen2.5-coder_7b,20260518-141955,20,19,95.0,18.96,18.89,1.0,archives/20260524_000931/prover_results_old/20260518-141955-hol_easy_20-rerank_off__sledge_on__model_litellm_ollama_qwen2.5-coder_7b.csv
hol_easy_20,on,on,litellm_ollama_qwen2.5-coder_7b,20260518-142627,20,20,100.0,19.04,19.04,1.0,archives/20260524_000931/prover_results_old/20260518-142627-hol_easy_20-rerank_on__sledge_on__model_litellm_ollama_qwen2.5-coder_7b.csv
hol_main_easy_goals_test,off,off,litellm_ollama_qwen2.5-coder_7b,20260524-023421,100,84,84.0,14.42,13.51,1.03,archives/before_gpt_gemini_20260525_234102/results_backup/20260524-023421-hol_main_easy_goals_test-rerank_off__sledge_off__model_litellm_ollama_qwen2.5-coder_7b.csv
hol_main_easy_goals_test,off,off,litellm_ollama_qwen2.5-coder_7b,20260524-023421,100,84,84.0,14.42,13.51,1.03,datasets/results/20260524-023421-hol_main_easy_goals_test-rerank_off__sledge_off__model_litellm_ollama_qwen2.5-coder_7b.csv
hol_main_easy_goals_test,on,off,litellm_ollama_qwen2.5-coder_7b,20260524-032752,100,84,84.0,13.95,13.54,1.09,archives/before_gpt_gemini_20260525_234102/results_backup/20260524-032752-hol_main_easy_goals_test-rerank_on__sledge_off__model_litellm_ollama_qwen2.5-coder_7b.csv
hol_main_easy_goals_test,on,off,litellm_ollama_qwen2.5-coder_7b,20260524-032752,100,84,84.0,13.95,13.54,1.09,datasets/results/20260524-032752-hol_main_easy_goals_test-rerank_on__sledge_off__model_litellm_ollama_qwen2.5-coder_7b.csv
hol_main_easy_goals_test,off,on,litellm_ollama_qwen2.5-coder_7b,20260524-040558,100,96,96.0,16.32,16.22,1.0,archives/before_gpt_gemini_20260525_234102/results_backup/20260524-040558-hol_main_easy_goals_test-rerank_off__sledge_on__model_litellm_ollama_qwen2.5-coder_7b.csv
hol_main_easy_goals_test,off,on,litellm_ollama_qwen2.5-coder_7b,20260524-040558,100,96,96.0,16.32,16.22,1.0,datasets/results/20260524-040558-hol_main_easy_goals_test-rerank_off__sledge_on__model_litellm_ollama_qwen2.5-coder_7b.csv
hol_main_easy_goals_test,on,on,litellm_ollama_qwen2.5-coder_7b,20260524-044355,100,96,96.0,16.62,16.47,1.0,archives/before_gpt_gemini_20260525_234102/results_backup/20260524-044355-hol_main_easy_goals_test-rerank_on__sledge_on__model_litellm_ollama_qwen2.5-coder_7b.csv
hol_main_easy_goals_test,on,on,litellm_ollama_qwen2.5-coder_7b,20260524-044355,100,96,96.0,16.62,16.47,1.0,datasets/results/20260524-044355-hol_main_easy_goals_test-rerank_on__sledge_on__model_litellm_ollama_qwen2.5-coder_7b.csv
hol_main_hard_goals_test,off,off,litellm_ollama_qwen2.5-coder_7b,20260525-040826,100,48,48.0,111.07,21.98,1.35,archives/before_gpt_gemini_20260525_234102/results_backup/20260525-040826-hol_main_hard_goals_test-rerank_off__sledge_off__model_litellm_ollama_qwen2.5-coder_7b.csv
hol_main_hard_goals_test,off,off,litellm_ollama_qwen2.5-coder_7b,20260525-040826,100,48,48.0,111.07,21.98,1.35,datasets/results/20260525-040826-hol_main_hard_goals_test-rerank_off__sledge_off__model_litellm_ollama_qwen2.5-coder_7b.csv
hol_main_hard_goals_test,on,off,litellm_ollama_qwen2.5-coder_7b,20260525-180248,100,49,49.0,106.31,20.3,1.37,archives/before_gpt_gemini_20260525_234102/results_backup/20260525-180248-hol_main_hard_goals_test-rerank_on__sledge_off__model_litellm_ollama_qwen2.5-coder_7b.csv
hol_main_hard_goals_test,on,off,litellm_ollama_qwen2.5-coder_7b,20260525-180248,100,49,49.0,106.31,20.3,1.37,datasets/results/20260525-180248-hol_main_hard_goals_test-rerank_on__sledge_off__model_litellm_ollama_qwen2.5-coder_7b.csv
hol_main_hard_goals_test,off,on,litellm_ollama_qwen2.5-coder_7b,20260525-202910,100,73,73.0,37.26,21.56,1.18,archives/before_gpt_gemini_20260525_234102/results_backup/20260525-202910-hol_main_hard_goals_test-rerank_off__sledge_on__model_litellm_ollama_qwen2.5-coder_7b.csv
hol_main_hard_goals_test,off,on,litellm_ollama_qwen2.5-coder_7b,20260525-202910,100,73,73.0,37.26,21.56,1.18,datasets/results/20260525-202910-hol_main_hard_goals_test-rerank_off__sledge_on__model_litellm_ollama_qwen2.5-coder_7b.csv
hol_main_hard_goals_test,on,on,litellm_ollama_qwen2.5-coder_7b,20260525-224523,100,75,75.0,36.67,21.87,1.19,archives/before_gpt_gemini_20260525_234102/results_backup/20260525-224523-hol_main_hard_goals_test-rerank_on__sledge_on__model_litellm_ollama_qwen2.5-coder_7b.csv
hol_main_hard_goals_test,on,on,litellm_ollama_qwen2.5-coder_7b,20260525-224523,100,75,75.0,36.67,21.87,1.19,datasets/results/20260525-224523-hol_main_hard_goals_test-rerank_on__sledge_on__model_litellm_ollama_qwen2.5-coder_7b.csv
hol_main_mid_goals_test,off,off,litellm_ollama_qwen2.5-coder_7b,20260524-062939,100,62,62.0,32.15,16.02,1.15,archives/before_gpt_gemini_20260525_234102/results_backup/20260524-062939-hol_main_mid_goals_test-rerank_off__sledge_off__model_litellm_ollama_qwen2.5-coder_7b.csv
hol_main_mid_goals_test,off,off,litellm_ollama_qwen2.5-coder_7b,20260524-062939,100,62,62.0,32.15,16.02,1.15,datasets/results/20260524-062939-hol_main_mid_goals_test-rerank_off__sledge_off__model_litellm_ollama_qwen2.5-coder_7b.csv
hol_main_mid_goals_test,on,off,litellm_ollama_qwen2.5-coder_7b,20260524-113401,100,62,62.0,37.38,17.1,1.15,archives/before_gpt_gemini_20260525_234102/results_backup/20260524-113401-hol_main_mid_goals_test-rerank_on__sledge_off__model_litellm_ollama_qwen2.5-coder_7b.csv
hol_main_mid_goals_test,on,off,litellm_ollama_qwen2.5-coder_7b,20260524-113401,100,62,62.0,37.38,17.1,1.15,datasets/results/20260524-113401-hol_main_mid_goals_test-rerank_on__sledge_off__model_litellm_ollama_qwen2.5-coder_7b.csv
hol_main_mid_goals_test,off,on,litellm_ollama_qwen2.5-coder_7b,20260524-130853,100,75,75.0,34.57,20.31,1.04,archives/before_gpt_gemini_20260525_234102/results_backup/20260524-130853-hol_main_mid_goals_test-rerank_off__sledge_on__model_litellm_ollama_qwen2.5-coder_7b.csv
hol_main_mid_goals_test,off,on,litellm_ollama_qwen2.5-coder_7b,20260524-130853,100,75,75.0,34.57,20.31,1.04,datasets/results/20260524-130853-hol_main_mid_goals_test-rerank_off__sledge_on__model_litellm_ollama_qwen2.5-coder_7b.csv
hol_main_mid_goals_test,on,on,litellm_ollama_qwen2.5-coder_7b,20260524-150054,100,74,74.0,39.59,23.84,1.0,archives/before_gpt_gemini_20260525_234102/results_backup/20260524-150054-hol_main_mid_goals_test-rerank_on__sledge_on__model_litellm_ollama_qwen2.5-coder_7b.csv
hol_main_mid_goals_test,on,on,litellm_ollama_qwen2.5-coder_7b,20260524-150054,100,74,74.0,39.59,23.84,1.0,datasets/results/20260524-150054-hol_main_mid_goals_test-rerank_on__sledge_on__model_litellm_ollama_qwen2.5-coder_7b.csv
lists,off,off,litellm_ollama_qwen2.5-coder_7b,20260518-150756,18,16,88.9,14.03,13.9,1.0,archives/20260524_000931/prover_results_old/20260518-150756-lists-rerank_off__sledge_off__model_litellm_ollama_qwen2.5-coder_7b.csv
lists,off,off,litellm_ollama_qwen2.5-coder_7b,20260524-011141,18,16,88.9,13.2,13.08,1.0,archives/before_gpt_gemini_20260525_234102/results_backup/20260524-011141-lists-rerank_off__sledge_off__model_litellm_ollama_qwen2.5-coder_7b.csv
