goal,success,depth,elapsed_s,model,timeout,use_calls,steps_len
x ∈ set xs ⟹ x ∈ set (xs @ ys),True,1,22.304409980773926,litellm:ollama/qwen2.5-coder:7b,False,3,2
set (xs @ ys) = set xs ∪ set ys,True,1,14.985416412353516,litellm:ollama/qwen2.5-coder:7b,False,6,2
map id xs = xs,True,1,14.021396160125732,litellm:ollama/qwen2.5-coder:7b,False,9,2
take (length xs) (xs @ ys) = xs,True,1,18.10038161277771,litellm:ollama/qwen2.5-coder:7b,False,12,2
map f (xs @ ys) = map f xs @ map f ys,True,1,17.935081481933594,litellm:ollama/qwen2.5-coder:7b,False,15,2
length (xs @ ys) = length xs + length ys,True,1,16.695392370224,litellm:ollama/qwen2.5-coder:7b,False,18,2
filter p (xs @ ys) = filter p xs @ filter p ys,True,1,17.425780534744263,litellm:ollama/qwen2.5-coder:7b,False,21,2
map f (rev xs) = rev (map f xs),True,1,35.89108657836914,litellm:ollama/qwen2.5-coder:7b,False,32,2
drop (length xs) (xs @ ys) = ys,True,1,15.750995874404907,litellm:ollama/qwen2.5-coder:7b,False,35,2
distinct xs ⟹ distinct (rev xs),True,1,15.838926076889038,litellm:ollama/qwen2.5-coder:7b,False,38,2
xs @ [] = xs,True,1,15.759087800979614,litellm:ollama/qwen2.5-coder:7b,False,41,2
take n xs @ drop n xs = xs,True,1,18.695540189743042,litellm:ollama/qwen2.5-coder:7b,False,44,2
[] @ xs = xs,True,1,15.32067060470581,litellm:ollama/qwen2.5-coder:7b,False,47,2
x ∈ set ys ⟹ x ∈ set (xs @ ys),True,1,16.93653106689453,litellm:ollama/qwen2.5-coder:7b,False,50,2
map f (filter p xs) = filter (λx. p x) (map f xs),False,1,99.74820756912231,litellm:ollama/qwen2.5-coder:7b,False,59,1
length (rev xs) = length xs,True,1,41.99982666969299,litellm:ollama/qwen2.5-coder:7b,False,62,2
rev (rev xs) = xs,True,1,18.206252574920654,litellm:ollama/qwen2.5-coder:7b,False,65,2
rev (xs @ ys) = rev ys @ rev xs,True,1,17.275606155395508,litellm:ollama/qwen2.5-coder:7b,False,68,2
