goal,success,depth,elapsed_s,model,timeout,use_calls,steps_len
x ∈ set xs ⟹ x ∈ set (xs @ ys),True,1,17.218563318252563,litellm:ollama/qwen2.5-coder:7b,False,71,2
set (xs @ ys) = set xs ∪ set ys,True,1,17.140835762023926,litellm:ollama/qwen2.5-coder:7b,False,74,2
map id xs = xs,True,1,15.112060785293579,litellm:ollama/qwen2.5-coder:7b,False,77,2
take (length xs) (xs @ ys) = xs,True,1,15.56325101852417,litellm:ollama/qwen2.5-coder:7b,False,80,2
map f (xs @ ys) = map f xs @ map f ys,True,1,15.538890838623047,litellm:ollama/qwen2.5-coder:7b,False,83,2
length (xs @ ys) = length xs + length ys,True,1,16.546347856521606,litellm:ollama/qwen2.5-coder:7b,False,86,2
filter p (xs @ ys) = filter p xs @ filter p ys,True,1,16.47205114364624,litellm:ollama/qwen2.5-coder:7b,False,89,2
map f (rev xs) = rev (map f xs),True,1,34.28319454193115,litellm:ollama/qwen2.5-coder:7b,False,100,2
drop (length xs) (xs @ ys) = ys,True,1,15.419186115264893,litellm:ollama/qwen2.5-coder:7b,False,103,2
distinct xs ⟹ distinct (rev xs),True,1,16.583922624588013,litellm:ollama/qwen2.5-coder:7b,False,106,2
xs @ [] = xs,True,1,15.753620862960815,litellm:ollama/qwen2.5-coder:7b,False,109,2
take n xs @ drop n xs = xs,True,1,18.4704532623291,litellm:ollama/qwen2.5-coder:7b,False,112,2
[] @ xs = xs,True,1,14.536463260650635,litellm:ollama/qwen2.5-coder:7b,False,115,2
x ∈ set ys ⟹ x ∈ set (xs @ ys),True,1,17.04726767539978,litellm:ollama/qwen2.5-coder:7b,False,118,2
map f (filter p xs) = filter (λx. p x) (map f xs),False,1,96.92099475860596,litellm:ollama/qwen2.5-coder:7b,False,127,1
length (rev xs) = length xs,True,1,36.26028490066528,litellm:ollama/qwen2.5-coder:7b,False,130,2
rev (rev xs) = xs,True,1,14.148933410644531,litellm:ollama/qwen2.5-coder:7b,False,133,2
rev (xs @ ys) = rev ys @ rev xs,True,1,14.923295021057129,litellm:ollama/qwen2.5-coder:7b,False,136,2
