goal,success,depth,elapsed_s,model,timeout,use_calls,steps_len
x ∈ set xs ⟹ x ∈ set (xs @ ys),True,1,6.440969228744507,litellm:openai/gpt-5.4-mini,False,91,2
set (xs @ ys) = set xs ∪ set ys,True,1,6.31613564491272,litellm:openai/gpt-5.4-mini,False,94,2
map id xs = xs,True,1,6.305660963058472,litellm:openai/gpt-5.4-mini,False,97,2
take (length xs) (xs @ ys) = xs,True,1,6.32700514793396,litellm:openai/gpt-5.4-mini,False,100,2
map f (xs @ ys) = map f xs @ map f ys,True,1,6.315266847610474,litellm:openai/gpt-5.4-mini,False,103,2
length (xs @ ys) = length xs + length ys,True,1,6.32501745223999,litellm:openai/gpt-5.4-mini,False,106,2
filter p (xs @ ys) = filter p xs @ filter p ys,True,1,6.337541341781616,litellm:openai/gpt-5.4-mini,False,109,2
map f (rev xs) = rev (map f xs),True,1,25.319899797439575,litellm:openai/gpt-5.4-mini,False,120,2
drop (length xs) (xs @ ys) = ys,True,1,6.327077150344849,litellm:openai/gpt-5.4-mini,False,123,2
distinct xs ⟹ distinct (rev xs),True,1,6.323001146316528,litellm:openai/gpt-5.4-mini,False,126,2
xs @ [] = xs,True,1,6.317079544067383,litellm:openai/gpt-5.4-mini,False,129,2
take n xs @ drop n xs = xs,True,1,8.867612600326538,litellm:openai/gpt-5.4-mini,False,132,2
[] @ xs = xs,True,1,6.3113484382629395,litellm:openai/gpt-5.4-mini,False,135,2
x ∈ set ys ⟹ x ∈ set (xs @ ys),True,1,6.3201611042022705,litellm:openai/gpt-5.4-mini,False,138,2
map f (filter p xs) = filter (λx. p x) (map f xs),False,4,93.01605534553528,litellm:openai/gpt-5.4-mini,False,167,4
length (rev xs) = length xs,True,1,5.309669494628906,litellm:openai/gpt-5.4-mini,False,170,2
rev (rev xs) = xs,True,1,6.338359832763672,litellm:openai/gpt-5.4-mini,False,173,2
rev (xs @ ys) = rev ys @ rev xs,True,1,6.337182283401489,litellm:openai/gpt-5.4-mini,False,176,2
